numero_base,classe,descricao
080089,8,Diamantes de vidraceiros [partes de ferramentas manuais]
080090,8,Mandris de expansão [ferramentas manuais]
080091,8,Instrumentos para amolar navalhas
080092,8,Instrumentos para afiar [amolar]
080093,8,Instrumentos para afiar lâminas
080095,8,Facas para escamar
080096,8,Escardilhos [ferramentas manuais]
080097,8,Tesouras para podar [jardinagem]
080098,8,Tesouras de eslagartar
080099,8,Facas para enxertar plantas
080100,8,Podadores de árvores
080101,8,Pinças para cutículas
080101,8,Alicates para cutículas
080102,8,Pinças para depilar
080103,8,Cabos para passadores
080104,8,Verrumões de carpinteiro [trado comprido]
080105,8,Estampadores [gravadores] em relevo [ferramentas manuais]
080106,8,Estojos para pedicure
080107,8,Estojos para aparelhos de barbear
080108,8,Vazadouros [partes de ferramentas manuais]
080109,8,Ancinhos [ferramentas manuais]
080110,8,Pás para remover [ferramentas manuais]
080111,8,Pás para cavar [ferramentas manuais]
080112,8,Podões para aparar bordas
080113,8,Foices
080114,8,Anéis de foices
080115,8,Pedras para afiar foices
080115,8,Pedras para afiar lâminas
080116,8,Ferros [ferramentas manuais não elétricas]
080117,8,Ferros para gofrar
080118,8,Ferros para polir e dar lustre
080119,8,Lâminas para plaina guilherme
080120,8,Ferros para moldagem
080121,8,Ferros para plissar
080122,8,Ferros para marcar a fogo
080124,8,Verrumas [brocas] [ferramentas manuais]
080125,8,Bainhas para espadas
080126,8,Aparelhos manuais para ondular cabelos
080127,8,Cortadores de grama [instrumentos manuais]
080128,8,Picadores de gelo
080129,8,Goivas [ferramentas manuais]
080130,8,Cassetetes
080130,8,Cassetetes de polícia
080131,8,Buris de oculista
080132,8,Puxavantes para ferreiros
080133,8,Facas de correeiro
080134,8,Enxertadeiras [facas]
080135,8,Plainas guilherme
080136,8,Instrumentos para picar verduras e legumes
080137,8,Machadinhas
080138,8,Cutelos enquanto facas
080139,8,Enxós de tanoeiro
080140,8,Arpão*
080141,8,Enxós [ferramentas]
080142,8,Enxadões [picaretas]
080143,8,Abridores de ostras
080144,8,Vaporizadores para inseticidas [ferramentas manuais]
080144,8,Pulverizadores para inseticidas [ferramentas manuais]
080144,8,Atomizadores para inseticidas [ferramentas manuais]
080145,8,"Ferramentas de jardinagem, operadas manualmente"
080146,8,Facas de poda
080147,8,Grampos para carpinteiros ou tanoeiros
080148,8,Lâminas para aparelho de barbear
080149,8,Lâminas [ferramentas manuais]
080150,8,Lâminas [armas]
080151,8,Lâminas para serras [partes de ferramentas manuais]
080153,8,Alavancas
080154,8,Machetes [facão ou faca de mato]
080155,8,Maços [martelos de madeira]
080156,8,Martelos [ferramentas manuais]
080157,8,Martelos de forja [malho]
080158,8,Martelos de pedreiro
080159,8,Cinzéis*
080160,8,Esticadores para fitas metálicas [ferramentas manuais]
080161,8,Moletas [ferramentas manuais]
080162,8,Coletores de dinheiro
080163,8,Almofarizes para pilar [ferramentas manuais]
080164,8,Espevitadeiras [tesoura para esmorraçar]
080166,8,Estojos de barbear
080167,8,Pinças para numerar
080168,8,Lixas para unhas
080169,8,"Abridores de latas, não elétricos"
080171,8,Picaretas [ferramentas manuais]
080172,8,Pilões [ferramentas manuais]
080172,8,Mãos de almofariz [ferramentas manuais]
080174,8,Pistolas [ferramentas manuais]
080175,8,Punções de centro [ferramentas manuais]
080175,8,Punções de bico [ferramentas manuais]
080176,8,Concha ou colher para fundição
080177,8,Ferros de plaina
080178,8,Limas grossas [grosa]
080179,8,"Aparelhos para barbear, elétricos ou não"
080180,8,Saca-pinos
080181,8,Atiçadores [ferros para atiçar fogo]
080182,8,Rebitadores [máquina para rebitar] [ferramentas manuais]
080183,8,Gadanhas
080184,8,Garfos para jardinagem [ferramentas manuais]
080185,8,Enxadas [ferramentas manuais]
080186,8,Porta-serras
080187,8,Cardas [ferramentas manuais]
080188,8,Podões [tesouras de podar]
080189,8,Foicinhas
080191,8,Aparelhos para decantar líquidos [ferramentas manuais]
080192,8,Ferramentas de corte [ferramentas manuais]
080193,8,Machos para fazer roscas [ferramentas manuais]
080194,8,Verrumões [trado] [ferramentas manuais]
080195,8,"Chaves de fenda, não elétricas"
080196,8,Talhadeiras [cinzéis] [ferramentas manuais]
080197,8,Trados [ferramentas manuais]
080198,8,Instrumentos para cortar tubos [ferramentas]
080199,8,Arcos de pua [ferramentas manuais]
080200,8,Implementos agrícolas manuais
080201,8,Pedras para amolar [ferramentas manuais]
080201,8,Rebolos [pedras para amolar] [ferramentas manuais]
080202,8,Seringas para pulverizar inseticidas
080203,8,"Prataria [facas, garfos e colheres]"
080204,8,Escavadoras [ferramentas manuais]
080205,8,Facas *
080206,8,Alicates*
080207,8,Alicates [pinças]*
080207,8,Pinças*
080207,8,Tenazes
080208,8,Espadas
080209,8,Sabres
080211,8,Aríetes [ferramentas manuais]
080212,8,Instrumentos para perfurar bilhetes
080213,8,"Lixas de unhas, elétricas"
080214,8,"Polidores de unhas, elétricos ou não"
080218,8,Porta-brocas [ferramentas manuais]
080219,8,"Máquinas de uso pessoal para corte do cabelo, elétricas e não elétricas"
080220,8,Forquilhas para agricultura [ferramentas manuais]
080221,8,"Cortadores de unhas, elétricos ou não"
080222,8,Máquinas para corte do pelo dos animais [instrumentos manuais]
080223,8,Tosquiadores [instrumentos manuais]
080224,8,Ferros de passar
080226,8,Rodas de esmeril [rebolo]
080227,8,Limas [ferramentas]
080228,8,Vazadores [saca-bocados] [ferramentas manuais]
080229,8,Punções [ferramentas manuais]
080230,8,Cortadores [ferramentas manuais]
080231,8,Estojos de manicure [kits]
080232,8,"Pistolas para extrusão de mástiques, acionadas manualmente"
080234,8,Ferramentas manuais para abrir valas
080235,8,Raspadeiras [ferramentas manuais]
080236,8,Facas picadoras de carne
080236,8,Facas moedoras de carne
080236,8,Cutelos de carne enquanto facas
080237,8,Ferramentas manuais para raspagem
080241,8,Aparelho para furar orelhas
080242,8,"Aparelhos para depilação, elétricos ou não"
080243,8,"Kits manicure, elétricos"
080244,8,Tornos de bancada
080245,8,Bombas manuais *
080246,8,Adagas
080247,8,Cintos porta-ferramentas
080248,8,"Fatiadores de queijo, não elétricos"
080249,8,"Cortadores de pizza, não elétricos"
080250,8,Pés de cabra
080251,8,"Fatiadores de ovos, não elétricos"
080252,8,Aparelhos para curvar cílios
080253,8,Caixa de meia esquadria [ferramentas manuais]
080254,8,Ancinhos coletores de areia
080255,8,Foles para lareira [ferramentas manuais]
080256,8,Aparelhos para fazer tatuagens
080257,8,Lixas de esmeril para toalete
080258,8,Guia fio [ferramenta manual]
080259,8,Alicates decapadores [ferramentas manuais]
080261,8,Tornos de bancada [instrumentos manuais]
080262,8,"Pistolas para calafetar, não elétricas"
080263,8,Esticadores para fios metálicos [ferramentas manuais]
080264,8,Estiletes tipo bisturi
080265,8,Bombas de ar manuais
080266,8,Facas de cerâmica
080267,8,Lixas de esmeril em papelão para unhas
080268,8,Afiador de esquis operado manualmente
080269,8,Agulhas para tatuagens
080270,8,Espátulas para uso por artistas
080271,8,Cinzeis para escultores
080272,8,"Colheres, garfos e facas de mesa, todos de plástico"
080273,8,"Colheres, garfos e facas de mesa para bebês"
080274,8,Raspadores para esquis
080275,8,Cabos para ferramentas operadas manualmente [empunhaduras]
080276,8,Cabos para facas
080277,8,Cabos para foices
080278,8,Espiralizadores manuais de legumes
080279,8,"Descascadores de legumes, operados manualmente"
080280,8,Estiletes
080281,8,Aparelhos elétricos para trançar o cabelo
080282,8,Mexedores de tinta [palito]
080283,8,Cortadores manuais de cápsulas de garrafas de vinho
080284,8,Cortadores de frutas em fatias
080285,8,Descaroçador de frutas
080286,8,Cortador e fatiador de alimentos [mandolin]
080287,8,Garras de urso para carnes [garras trinchantes]
080288,8,Instrumentos estéreis para piercing corporal
080289,8,"Dispositivos depilatórios a laser, exceto para fins medicinais"
080290,8,Martelos de emergência
080291,8,Facas para cortar verduras e legumes
080292,8,Garfos trinchantes
080293,8,Facas trinchantes
080294,8,Facas multiferramentas
080295,8,Debulhadores de milho manuais
080296,8,Fatiadores de frutas manuais
080297,8,Processadores de alimentos manuais
080298,8,"Teares manuais portáteis, de propulsão manual"
080299,8,"Espremedores de tubos manuais, exceto para uso doméstico"
080300,8,Chapinhas alisadoras de cabelo
080301,8,"Descaroçadores de frutas, operados manualmente"
080302,8,Coletes para ferramentas
080303,8,Furadores de costura
080304,8,Abridores de costura
080305,8,Cinzéis sem corte
090001,9,Bobinas elétricas
090002,9,Aceleradores de partícula
090003,9,Artigos refletores para uso [vestimenta] para prevenção de acidentes
090005,9,"Roupas para proteção contra acidentes, irradiação e fogo"
090007,9,Baterias elétricas para veículos
090007,9,Acumuladores elétricos para veículos [baterias]
090008,9,Tanques de baterias
090008,9,Tanques de acumuladores [baterias]
090009,9,Caixas de baterias [acumuladores]
090009,9,Caixas de acumuladores [baterias]
090010,9,Acidímetros para baterias
090011,9,Hidrômetros
090012,9,Placas para baterias
090013,9,Alarmes de apito
090014,9,Alarmes acústicos
090014,9,Alarmes sonoros
090015,9,Dutos acústicos
090016,9,Discos fonográficos
090017,9,Tubos acústicos
090018,9,Actinômetros
090019,9,Máquinas de somar
090020,9,Aerômetros
090021,9,Aparelhos para ampliação [fotografia]
090022,9,Aparelhos eletrodinâmicos para controle remoto de agulhas ferroviárias
090023,9,Ímãs*
090024,9,Bobinas eletromagnéticas
090025,9,Aparelhos para análise do ar
090026,9,Alarmes *
090027,9,Alcoolômetros
090028,9,Alidades
090029,9,Aparelhos para análise de alimentos
090030,9,Aparelhos elétricos para ignição à distância
090031,9,Baterias de ignição
090033,9,Altímetros
090034,9,Luvas de amianto para proteção contra acidentes
090035,9,Roupas de amianto para proteção contra fogo
090036,9,Amperímetros
090037,9,Amplificadores
090038,9,Tubos amplificadores [válvulas]
090038,9,Válvulas amplificadoras
090039,9,Anemômetros
090040,9,Anéis para calibrar
090041,9,Extintores de incêndio
090043,9,Anodos
090044,9,Baterias de anodo
090044,9,Baterias de alta tensão
090045,9,Antenas
090047,9,Viseiras para capacetes
090048,9,Dispositivos anti-interferência [eletricidade]
090049,9,Transformadores [eletricidade]
090050,9,Apertômetros [óptica]
090053,9,Máquinas para contar e separar dinheiro
090054,9,Caixas de distribuição [eletricidade]
090055,9,Instrumentos geodésicos
090056,9,Cadeias de agrimensura
090059,9,Lentes para astrofotografia
090060,9,Válvulas termiônicas
090061,9,Aparelhos para ensino audiovisual
090062,9,Juke-boxes [música]
090063,9,Mecanismos para aparelhos acionados por moedas
090064,9,Mecanismos para aparelhos acionados por fichas
090066,9,Calibradores [calibres]
090067,9,Comparadores
090068,9,Alarmes de incêndio
090069,9,Indicadores automáticos de baixa pressão nos pneus
090070,9,Trajes para proteção de aviadores
090071,9,Campainhas elétricas
090072,9,Varinhas de adivinho para encontrar água
090074,9,Balanças
090075,9,Balões meteorológicos
090076,9,Aparelhos desmagnetizadores para fitas magnéticas
090077,9,Gravadores de fita
090078,9,Fitas magnéticas
090079,9,Barômetros
090080,9,Máquinas para pesar
090081,9,Básculas [balança para grandes pesos]
090082,9,Batedores para incêndio
090083,9,Carregadores para acumuladores elétricos
090085,9,Betatrons
090086,9,"Dispensadores de bilhetes, eletrônicos"
090087,9,Caixas para alto-falantes
090088,9,Lentes close-up
090089,9,Bornes
090090,9,Bujões indicadores de pressão para válvulas
090092,9,Galvanômetros
090093,9,Botões de campainha
090094,9,Caixas de distribuição [eletricidade]
090095,9,Braços reprodutores para toca-discos
090096,9,Níveis de bolhas de ar
090097,9,Máquinas de cartões perfurados para escritórios
090098,9,Revestimentos para cabos elétricos
090099,9,Molduras para diapositivos [slides] [cromos]
090101,9,Réguas de cálculo circulares
090102,9,Réguas de cálculo
090103,9,Máquinas de calcular
090104,9,Paquímetros
090105,9,Gabaritos [instrumentos de medição]
090106,9,Aparelhos heliográficos
090107,9,Câmeras cinematográficas
090109,9,Tubos capilares para uso laboratorial
090111,9,Suportes para gravação de som
090112,9,Capacetes para proteção
090113,9,"Máscaras respiratórias, exceto para fins médicos"
090114,9,Máscaras para proteção de soldador
090116,9,Aparelhos para controle de calor
090117,9,Câmaras escuras [fotografia]
090120,9,Instrumentos para controle de caldeira
090122,9,Secadoras [fotografia]
090124,9,Aparelhos para montagem de filme cinematográfico
090125,9,Circuitos impressos
090126,9,Luzes piscantes [sinais luminosos]
090127,9,Sinos de sinalização
090128,9,Estojos para lâminas de microscópio
090129,9,Coletores elétricos
090130,9,Instalações elétricas para controle remoto de operações industriais
090131,9,Caixa de fusíveis [eletricidade]
090132,9,Comutadores
090133,9,Bússolas marítimas
090134,9,Oculares [instrumentos ópticos]
090136,9,Conta-fios
090137,9,Podômetros [pedômetro; conta-passos]
090138,9,Contadores [medidores]
090138,9,Medidores [contadores]
090139,9,Metrônomos
090140,9,Condensadores elétricos [capacitores]
090140,9,Capacitores [condensadores elétricos]
090141,9,Condutores elétricos
090142,9,Condutos de eletricidade [eletrodutos]
090143,9,Conjuntores
090144,9,Conectores [eletricidade]
090145,9,Caixas de junção [eletricidade]
090146,9,Painéis de distribuição
090148,9,Contatos elétricos
090149,9,Aparelhos para controle de porte postal
090149,9,Aparelhos para controle de selo postal
090150,9,"Aparelhos reguladores, elétricos"
090151,9,"Aparelhos para monitoramento, exceto para fins medicinais"
090152,9,Aparelhos para controle de velocidade para veículos
090153,9,Conversores elétricos
090154,9,"Fotocopiadoras [fotográficas, eletrostáticas, térmicas]"
090157,9,Retortas
090158,9,Suportes para retortas
090160,9,Objetivas [lentes] [óptica]
090161,9,Instrumentos para cosmografia
090162,9,Roupas de mergulho*
090163,9,Dispositivos elétricos para comutação
090164,9,Interruptores elétricos
090165,9,Limitadores [eletricidade]
090166,9,Plugues elétricos [conector macho]
090167,9,Retificadores de corrente [eletricidade]
090168,9,Chaves combinadoras para baterias [redutores]
090168,9,Redutores [eletricidade]
090169,9,Fitas métricas [apetrechos de costura]
090170,9,Cadinhos [laboratórios]
090170,9,Crisol [laboratórios]
090171,9,Aparelhos para medir a espessura do couro
090172,9,Ciclotrons
090173,9,Detectores de moedas falsas [contrafação]
090174,9,Disparadores de obturador [fotografia]
090175,9,Densímetros
090176,9,Desenhos animados
090177,9,Bandejas de laboratório
090178,9,Detectores de metal para uso industrial ou militar
090179,9,Sonares
090180,9,Detectores
090181,9,Obturadores [fotografia]
090182,9,Diafragmas [acústica]
090183,9,Dispositivos para enquadramento de diapositivos [slide] [cromo]
090184,9,Câmeras [fotografia]
090185,9,Diapositivos [slides] [cromos]
090185,9,Slides [diapositivos] [cromos]
090186,9,Projetores de slides [diapositivos] [cromos]
090186,9,Projetores de diapositivos [slides] [cromos]
090187,9,Aparelhos para medir distância
090188,9,Máquinas de ditar
090189,9,Aparelhos para difração [microscopia]
090190,9,Alto-falantes
090191,9,Disjuntores
090192,9,Toca-discos
090193,9,Microscópios
090194,9,Aparelhos para registro de distância
090195,9,Distanciômetros [telêmetro]
090195,9,Telêmetros [distanciômetro]
090197,9,Quadros de distribuição [eletricidade]
090198,9,Consoles de distribuição [eletricidade]
090200,9,Compassos para medição
090201,9,Medidores
090202,9,Aparelhos para medição
090203,9,Dinamômetros
090204,9,Indicadores de nível de água
090205,9,Saídas de incêndio
090206,9,Lâmpadas de flash [fotografia]
090207,9,Receptores de telefone
090208,9,Telas fluorescentes
090209,9,Telas de projeção
090210,9,Máscaras protetoras para operários
090211,9,Telas [fotografia]
090212,9,Escorredores para uso em fotografia
090213,9,Indicadores de perda elétrica
090214,9,Aparelhos elétricos medidores
090215,9,Cabos elétricos
090216,9,Dutos [eletricidade]
090217,9,Painéis de comando [eletricidade]
090218,9,Células galvânicas
090219,9,Conexões para linhas elétricas
090220,9,Conexões elétricas
090222,9,Relés elétricos
090227,9,Transmissores de sinais eletrônicos
090228,9,Aparelhos de transmissão [telecomunicação]
090230,9,Instrumentos para limpeza de discos fonográficos
090231,9,Fitas para gravação de som
090232,9,Aparelhos para registrar a milhagem de veículos
090232,9,Aparelhos para registrar a quilometragem de veículos [hodômetro]
090233,9,Carretéis [fotografia]
090234,9,Sinais mecânicos
090235,9,Epidiascópios
090236,9,Tubos de ensaio
090237,9,Aparelhos para balanceamento
090238,9,Termostatos
090239,9,Ergômetros
090240,9,Instrumentos e máquinas para teste de material
090241,9,Aparelhos para examinar ovos
090242,9,Aferidores [aferímetro]
090243,9,Medidores de gasolina
090245,9,Para-chispas [veda fagulhas]
090246,9,Estojos especialmente feitos para aparelhos e instrumentos de fotografia
090249,9,Aparelhos para teste exceto para uso medicinal
090250,9,Refratômetros
090251,9,Exposímetros [posímetros]
090253,9,Aparelhos de fermentação para uso laboratorial
090254,9,Aparelhos para segurança de tráfego ferroviário
090255,9,Fios elétricos
090256,9,Fios magnéticos
090257,9,Pesos de prumo
090258,9,Fios de prumo
090259,9,Redes de proteção contra acidentes
090260,9,Redes de segurança
090260,9,Redes salva-vidas
090261,9,Lonas de segurança
090262,9,Aparelhos para cortar filme
090263,9,"Filtros para máscaras respiratórias, exceto para fins médicos"
090264,9,Filtros para fotografia
090266,9,Carregadores de pilhas e baterias
090267,9,Aparelhos de alta freqüência
090268,9,Frequencímetros
090269,9,Fusíveis
090270,9,Rádios
090271,9,Detectores de galena
090272,9,Pilhas galvânicas
090274,9,Luvas para proteção contra acidentes
090275,9,Luvas para mergulhadores
090276,9,"Luvas para proteção contra raios x, para uso industrial"
090278,9,Aparelhos para análise de gás
090279,9,Gasômetros [instrumentos de medição]
090280,9,Aparelhos e instrumentos geodésicos
090281,9,Balizas [instrumentos de topografia]
090281,9,Réguas de mira para nivelamento [instrumentos de topografia]
090282,9,Secadores de cópias fotográficas
090283,9,Aparelhos para dar brilho às fotografias
090284,9,Réguas [instrumentos de medida]
090285,9,Vidros graduados
090286,9,Retículas para fotogravura [trama]
090287,9,Grades para baterias
090288,9,Roupas para proteção contra fogo
090289,9,Receptores de áudio e de vídeo
090290,9,Aparelhos de heliografia
090291,9,Hologramas
090292,9,Higrômetros
090293,9,Fios para identificação para fios elétricos
090294,9,Identificadores para fios elétricos
090295,9,Dispositivos e equipamentos para salvamento
090296,9,Bicos para mangueiras de incêndio
090298,9,Bombas de incêndio
090299,9,Goniômetros verticais
090299,9,Inclinômetros
090299,9,Indicadores de gradiente
090299,9,Clinômetros
090300,9,Taxímetros
090301,9,Indicadores de quantidade
090302,9,Vacuômetros
090303,9,Indicadores de velocidade
090304,9,Indutores [eletricidade]
090305,9,Rotores [eletricidade]
090306,9,Dispositivos para processamento de dados
090307,9,Espelhos para inspeção de trabalhos
090308,9,Aparelhos para intercomunicação
090309,9,Suportes para chapas escuras [fotogafia]
090310,9,Inversores [eletricidade]
090311,9,"Aparelhos de ionização, exceto para tratamento de ar e água"
090312,9,Olhos mágicos para portas
090313,9,Marcadores de bainha para costura
090315,9,Mobília especialmente feita para laboratórios
090316,9,Lactodensímetros
090317,9,Lactômetros [galactômetros]
090318,9,Lâmpadas para quarto escuro [fotografia]
090319,9,Lanternas ópticas
090319,9,Lâmpadas ópticas
090321,9,Lanternas mágicas
090322,9,Lanternas de sinalização
090323,9,"Laser, exceto para uso médico"
090324,9,Lentes ópticas
090325,9,Balanças para pesar cartas
090326,9,Barquilhas [instrumentos de medição]
090327,9,Linhas de sondas
090328,9,Lentes de aumento
090329,9,Sinais luminosos
090330,9,Luminosos de néon
090333,9,Níveis [instrumentos de topografia]
090336,9,"Medidores de pressão, exceto para uso médico"
090337,9,Periscópios
090338,9,"Máscaras para proteção, exceto para fins medicinais"
090339,9,Instrumentos matemáticos
090340,9,Mecanismos para aparelhos de televisão acionados por moedas
090341,9,Megafones
090342,9,Memórias para computador
090343,9,Réguas de carpinteiro [corrediça]
090344,9,Níveis de mercúrio
090345,9,Instrumentos para medição de velocidade [fotografia]
090346,9,Aparelhos medidores de precisão
090347,9,Instrumentos para medição
090348,9,Instrumentos meteorológicos
090349,9,Metros [instrumentos de medição]
090350,9,Parafusos micrométricos para instrumentos ópticos
090351,9,Microfones
090352,9,Micrótomos
090353,9,Interruptores cronométricos automáticos
090354,9,Espelhos ópticos
090355,9,Dispositivos respiratórios para nado subaquático
090356,9,Aparelhos e instrumentos náuticos
090357,9,Aparelhos de sinalização navais
090358,9,Instrumentos para navegação
090360,9,Pilhas elétricas
090361,9,Acumuladores elétricos
090362,9,Nível [instrumento para determinar a horizontalidade de um plano]
090363,9,Instrumentos para nivelamento
090365,9,Prismas [óptica]
090366,9,Instrumentos para observação
090367,9,Oitantes
090368,9,Ohmímetros
090369,9,Ondômetros
090370,9,Instrumentos e aparelhos ópticos
090371,9,Vidro óptico
090372,9,Computadores
090373,9,"Programas de computador, gravados"
090374,9,Oscilógrafos
090377,9,Aparelhos para transvasar oxigênio
090379,9,Micrômetros
090380,9,"Painéis de sinalização, luminosos ou mecânicos"
090381,9,Condutores de raios
090381,9,Para-raios
090383,9,Parquímetros
090384,9,Aparelhos e instrumentos para astronomia
090386,9,Aparelhos para medir a espessura da pele
090387,9,Acidímetros [instrumentos para medir grau de acidez]
090388,9,Aparelhos e instrumentos para pesagem
090389,9,Salinômetros
090390,9,Bandejas de lavar [fotografia]
090391,9,Apoios para aparelhos fotográficos
090392,9,Visores fotográficos
090393,9,Fotômetros
090394,9,Aparelhos para fototelegrafia
090395,9,Aparelhos e instrumentos para física
090396,9,Dispositivos para direção automática de veículos
090398,9,Pipetas de laboratório
090399,9,Pranchetas [instrumentos de agrimensura]
090400,9,Planímetros
090401,9,Tampões de ouvido para mergulhadores
090402,9,Campainhas [dispositivos de alarme]
090403,9,Pesos*
090404,9,Polarímetros
090407,9,Aparelhos para radiotelefonia
090408,9,Aparelhos para radiotelegrafia
090409,9,Medidores de pressão
090410,9,Indicadores de pressão
090411,9,Aparelhos para projeção
090412,9,Dispositivos catódicos anticorrosão
090414,9,Protetores bucais*
090415,9,Pirômetros
090416,9,Aparelhos de radar
090417,9,Rádios para veículos
090418,9,Aparelhos para radiologia para uso industrial
090419,9,Transferidores [instrumentos de medida]
090420,9,"Aparelhos e instalações geradores de raios x, exceto para uso médico"
090421,9,Tubos de raios x exceto para uso médico
090422,9,"Dispositivos para proteção contra raios x, exceto para uso médico"
090423,9,Aparelhos de telefone
090424,9,Refratores
090425,9,"Aparelhos roentgen, exceto para uso médico"
090426,9,Espectroscópios
090427,9,Resistências elétricas
090429,9,"Termômetros, exceto para uso médico"
090430,9,"Respiradores para filtragem de ar, exceto para fins médicos"
090431,9,"Aparelhos respiratórios, exceto para fins médicos"
090432,9,Reostatos
090433,9,Balanças romanas
090434,9,"Sinais, luminosos ou mecânicos"
090435,9,Sacarímetros
090436,9,Sondas para uso científico
090437,9,Satélites para uso científico
090439,9,Membranas para aparelhos científicos
090440,9,Aparelhos para ensino
090441,9,Bobinas de reatância [impedância]
090442,9,Conectores de fios [eletricidade]
090443,9,Fechaduras elétricas
090444,9,Sextantes
090445,9,Apitos de sinalização
090446,9,Triângulos de sinalização para veículos avariados
090447,9,Aparelhos eletrodinâmicos para o controle remoto de sinais
090448,9,Simuladores para direção e controle de veículos
090449,9,Sirenes
090450,9,Aparelhos para transmissão de som
090451,9,Aparelhos para gravação de som
090452,9,Aparelhos para reprodução de som
090453,9,Aparelhos e máquinas para sondagem
090454,9,Chumbos de sondagem
090455,9,Sonômetros
090457,9,Espectrógrafos
090458,9,Esferômetros
090460,9,Estereoscópios
090461,9,Aparelhos estereoscópicos
090462,9,Agulhas para toca-discos
090463,9,Sulfitômetros
090464,9,Tele-impressoras [telex]
090464,9,Máquinas de telex
090465,9,Tacômetros
090466,9,Padrões de abertura de roscas [aferidores]
090467,9,Telégrafos [aparelhos]
090468,9,Aparelhos de televisão
090469,9,Fios telegráficos
090470,9,Controles remotos
090471,9,Mastros para antenas sem fio
090472,9,Teleprompters
090473,9,Transmissores telefônicos
090474,9,Teleruptores
090475,9,Binóculos
090476,9,Telescópios
090477,9,Indicadores de temperatura
090478,9,Aparelho para registro de tempo
090479,9,Teodolitos
090481,9,Termostatos para veículos
090484,9,Totalizadores
090485,9,Conta-giros [taquímetros]
090486,9,Reguladores de velocidade para toca-discos
090488,9,Transmissores [telecomunicação]
090489,9,Balanças de precisão
090490,9,Graminhos [marcenaria]
090491,9,Tubos de vácuo [rádio]
090492,9,Urinômetros
090493,9,Variômetros
090494,9,Verniês [nônio]
090495,9,Fitas de vídeo
090496,9,Viscosímetros
090497,9,Instalações elétricas antirroubo
090498,9,"Regulador de tensão, para veículos"
090499,9,Máquinas para votar
090500,9,Voltímetros
090503,9,Aparelhos para trocar agulhas de toca-discos
090504,9,Destiladores para experiências em laboratório
090505,9,Fios de fusível
090507,9,Anticátodos
090508,9,Apitos para cães
090509,9,Miras telescópicas para armas de fogo
090511,9,Dispositivos de alarme antirroubo
090512,9,Instrumentos azimutais
090513,9,Balizas luminosas
090514,9,Suportes para bobinas elétricas
090515,9,"Filmes, expostos"
090516,9,"Placas sinalizadoras para estrada, luminosas ou mecânicas"
090517,9,Boias salva-vidas
090518,9,Boias de sinalização
090522,9,Campainhas [cigarras]
090523,9,Bússolas
090524,9,"Sinalizadores de neblina, não explosivos"
090525,9,Caixas registradoras
090526,9,Telas radiológicas para uso industrial
090529,9,Cartões magnéticos para identificação
090531,9,Células fotovoltaicas
090532,9,"Densitômetros, exceto para fins medicinais"
090533,9,Discos magnéticos
090534,9,Discos flexíveis [disquetes]
090535,9,Fitas para limpar cabeçotes de gravação
090536,9,Aparelhos de videocassetes
090537,9,Teclados de computador
090538,9,Circuitos integrados
090539,9,Semicondutores
090540,9,Chips [circuitos integrados]
090543,9,Catodos
090546,9,Coletes salva-vidas
090547,9,Cintos de salvamento
090549,9,Aparelhos e instrumentos de química
090550,9,"Filmes cinematográficos, expostos"
090553,9,"Material para condutos elétricos [fios, cabos]"
090556,9,Incubadoras para cultura bacteriológica
090557,9,Baterias solares
090558,9,Fios de cobre isolados
090559,9,"Tubos para descargas elétricas, exceto para iluminação"
090559,9,"Ampolas para descargas elétricas, exceto para iluminação"
090562,9,Diafragmas [fotografia]
090564,9,Aparelhos para destilação para uso científico
090565,9,Dosímetros
090566,9,Campainhas elétricas de porta
090568,9,Fornalhas para laboratórios
090568,9,Fornos para laboratórios
090571,9,Fibras ópticas [filamentos condutores de luz]
090572,9,Fios telefônicos
090573,9,Filmes para raios x expostos
090574,9,Filtros para raios ultravioletas [fotografia]
090575,9,Pavilhões para alto-falantes
090577,9,Tripés para câmeras
090581,9,Leitores de código de barras
090582,9,Coletes à prova de bala
090583,9,Boias de marcação
090584,9,Plaquetas para circuitos integrados
090585,9,Aparelhos de cromatografia para laboratório
090586,9,Cronógrafos [instrumento para medição de tempo]
090587,9,Discos compactos [cd] [áudio e vídeo]
090588,9,Discos compactos de memória somente de leitura [cd-rom]
090589,9,"Programas operacionais para computador, gravados"
090590,9,Periféricos de computador
090591,9,"Softwares de computador, gravados"
090592,9,Condensadores ópticos
090593,9,Acopladores acústicos
090594,9,Acopladores [processamento de dados]
090595,9,Câmaras de descompressão
090596,9,Plotters [traçador gráfico]
090597,9,Máscaras para mergulho
090598,9,Canetas eletrônicas para unidades de visualização
090599,9,Cartões magnéticos codificados
090600,9,Aparelhos de fac-símile [fax]
090603,9,Interfaces para computadores
090604,9,Juke-boxes para computadores
090605,9,Joelheiras para operários
090606,9,Dimmers [interruptor de graduação de intensidade luminosa]
090606,9,Reguladores de intensidade luminosa [dimmer]
090607,9,Suportes magnéticos para dados
090608,9,Codificadores magnéticos
090609,9,Unidades de fita magnética para computadores
090610,9,Microprocessadores
090611,9,Modems
090612,9,Monitores [periféricos de computador]
090613,9,Monitores [programas de computador]
090614,9,Mouses de computador
090615,9,Leitores ópticos de caractere
090616,9,Suportes ópticos para dados
090617,9,Discos ópticos
090618,9,Impressoras para uso com computadores*
